mode_ind,y2017,av_car,av_par_act,av_kid_act,log_inc_k,veh_per_driver,non_work_dad,non_work_mom,age,female,has_lil_sib,has_big_sib,log_distance,log_density
1,0,1,1,1,3.9917579734469997,1,0,0,8,1,0,1,0,7.313220387090301
1,0,1,1,1,4.091841432003982,1,0,0,13,1,1,0,0,8.85366542803745
1,0,1,1,1,3.4452142670789296,1,0,1,7,1,1,0,0,8.006367567650246
1,0,1,1,1,3.755369195382769,2,0,0,7,0,0,0,0,8.85366542803745
3,0,1,1,1,1.047318994280559,0,0,1,10,1,0,0,-1.504077396876274,7.313220387090301
1,0,1,1,1,4.26619481914876,1,0,1,10,0,1,0,-0.5877866648221189,8.85366542803745
3,0,1,1,1,5.072670685015709,2,0,1,7,0,1,1,-1.0986122887681098,8.85366542803745
3,0,1,1,1,5.072670685015709,2,0,0,12,1,1,0,-0.25131442825233463,8.85366542803745
1,0,1,1,1,3.4452142670789296,1,0,0,13,1,0,0,0,3.912023005428146
1,0,1,1,1,4.182813210209709,1.5,0,0,12,0,1,1,-0.6931471805599453,5.703782474656201
1,0,1,1,1,3.755369195382769,2,0,0,13,1,0,0,-0.25131442825233463,8.85366542803745
1,0,1,1,1,3.755369195382769,2,0,0,8,1,1,0,-0.5877866648221189,5.703782474656201
2,0,1,1,1,3.4452142670789296,0.3333333333333333,0,0,13,0,1,1,-0.25131442825233463,10.308952660644293
3,0,1,1,1,3.6122683517420957,1,0,0,8,1,1,0,-1.504077396876274,8.006367567650246
3,0,1,1,1,2.6567569067146595,1,0,1,12,0,1,0,-1.0986122887681098,9.740968623038354
1,0,1,1,1,4.091841432003982,2,0,0,9,1,1,0,0,10.308952660644293
1,0,1,1,1,4.182813210209709,1,0,1,13,1,0,0,0,8.85366542803745
3,0,1,1,1,2.6567569067146595,2,0,1,12,0,1,0,-1.504077396876274,8.85366542803745
1,0,1,1,1,2.9932291433358724,1,1,0,13,0,0,0,-0.5877866648221189,3.912023005428146
3,0,1,1,1,3.2445435716167785,2,0,0,10,1,1,0,-1.0986122887681098,8.85366542803745
3,0,1,1,1,3.2445435716167785,1,0,0,12,0,0,0,-0.25131442825233463,8.006367567650246
1,0,1,1,1,3.755369195382769,1,0,0,11,0,1,0,0,8.006367567650246
3,0,1,1,1,4.630837932736669,1,0,0,9,1,1,0,-0.5877866648221189,8.85366542803745
3,0,1,1,1,2.6567569067146595,1,0,1,14,1,1,0,-1.504077396876274,10.308952660644293
1,0,1,1,1,1.047318994280559,1,0,1,7,0,1,0,-0.5877866648221189,5.703782474656201
3,0,1,1,1,4.091841432003982,1,1,0,11,0,1,0,-2.197224577436219,9.740968623038354
3,0,1,1,1,3.4452142670789296,1,0,0,12,1,1,0,-0.8109302163163287,8.85366542803745
3,0,1,1,1,3.755369195382769,1,0,1,7,1,0,0,-1.504077396876274,9.740968623038354
1,1,1,1,1,2.995732273553991,1,0,0,10,0,0,0,-0.49265831981054176,8.85366542803745
2,1,1,1,1,3.4011973816621555,1,0,0,7,0,1,0,-0.5727010274840783,3.912023005428146
3,1,1,1,1,5.639634988165727,1,0,0,11,1,1,0,-0.7852624694677509,8.006367567650246
1,1,1,1,1,5.639634988165727,2,0,0,13,0,1,0,-0.8651224452997557,8.85366542803745
1,1,1,1,1,4.135166556742356,1,0,0,8,0,1,0,0.02273948696948934,3.912023005428146
3,1,1,1,1,4.471638793363569,1,0,1,14,1,0,0,-1.9805015938249322,8.85366542803745
1,1,1,1,1,3.7495040759303713,2,0,0,10,0,1,0,0.09712671073072282,8.006367567650246
1,1,1,1,1,3.4011973816621555,1,0,0,10,0,0,0,0.017839918128331016,8.006367567650246
1,1,1,1,1,1.6094379124341003,1,0,0,12,0,1,0,-0.01816397062767118,8.85366542803745
3,1,1,1,1,4.135166556742356,1,0,0,9,0,1,0,-1.0700248318161971,8.85366542803745
1,1,1,1,1,2.5257286443082556,1,0,0,12,1,0,0,0.17814618538347404,9.740968623038354
3,1,1,1,1,4.135166556742356,1,0,0,11,1,0,0,-0.5656338602609858,7.313220387090301
1,1,1,1,1,2.5257286443082556,1,0,1,11,1,0,0,-0.29169009384931976,8.85366542803745
1,1,1,1,1,4.135166556742356,1,0,1,8,1,0,0,-1.3862943611198906,8.85366542803745
3,1,1,1,1,5.639634988165727,2,0,0,9,0,1,0,-1.258781040820931,8.85366542803745
1,1,1,1,1,3.4011973816621555,1,0,0,8,0,0,1,-1.2801341652915,8.85366542803745
1,1,1,1,1,1.6094379124341003,1,0,0,11,1,1,0,0.17898265552843995,8.85366542803745
1,1,1,1,1,1.6094379124341003,1,0,0,8,0,0,0,-0.3188288014486177,9.740968623038354
1,1,1,1,1,5.639634988165727,1,0,1,7,0,0,0,-0.353821874956326,7.313220387090301
1,1,1,1,1,3.4011973816621555,1,0,0,8,1,0,0,0.002995508979798371,8.006367567650246
3,1,1,1,1,4.135166556742356,1,0,0,11,1,0,0,-0.5175146119167874,8.006367567650246
1,1,1,1,1,4.722953221644475,1,0,1,7,1,1,0,-0.6143360001356555,8.006367567650246
1,1,1,1,1,4.471638793363569,1,0,0,9,1,0,0,0.010939940038334263,5.703782474656201
2,1,1,1,1,4.135166556742356,1,0,0,10,1,1,0,-0.052346480372209236,8.85366542803745
1,1,1,1,1,4.923623917106626,1,0,0,7,1,0,0,-0.9493305859523552,8.85366542803745
1,1,1,1,1,4.135166556742356,2,0,0,8,0,0,0,0.054488185284069776,8.85366542803745
1,1,1,1,1,2.995732273553991,1,0,0,7,1,1,0,0.12221763272424911,5.703782474656201
3,1,1,1,1,3.4011973816621555,1,0,0,13,0,0,0,-0.36528331847533263,9.740968623038354
1,1,1,1,1,3.4011973816621555,2,0,0,11,0,0,0,0.10436001532424286,9.740968623038354
1,1,1,1,1,3.4011973816621555,1,0,0,9,1,0,0,-0.0010005003335835344,8.006367567650246
1,0,1,1,1,2.9932291433358724,3,0,0,12,0,0,0,-0.5877866648221189,8.006367567650246
3,1,1,1,1,1.6094379124341003,0,0,0,13,1,0,0,-0.7962879394794586,8.85366542803745
