Value,Rob. Std err,Rob. t-test,Rob. p-value
0.5501422213289534,0.191802697888973,2.8682715487527135,0.004127211358897043
3.848512606646824,0.6827357463671212,5.636899235355693,1.7313935174456674e-08
-1.0656919341878952,0.6314902982497254,-1.6875824333986253,0.09149141367299407
0.049579348494803874,0.033989465661007044,1.458668076435272,0.14465648662634667
0.2606206080836788,0.04296412752275603,6.066004900149331,1.3113112817819683e-09
0.14314040749668272,0.08080353746668342,1.7714621411927884,0.07648388292578989
-0.14623317723507642,0.0742094845723649,-1.9705456529950438,0.04877586819449786
-0.07989774276542569,0.0768575183888432,-1.0395566294659837,0.2985459354475213
0.2419885690251978,0.07224177743601085,3.3497039748162694,0.0008089796741961308
-0.19711252500090304,0.081416765279543,-2.421031151558536,0.015476550952648216
-0.003972980071655673,0.06591162627892959,-0.060277378907971836,0.9519347181958977
-0.25062727807780044,0.04220403525935843,-5.93846717588991,2.876992422073954e-09
-0.06633514583238163,0.03771479042729371,-1.7588629044687927,0.07860079722712587
1.2744527909087116,0.22193797017390451,5.742382837466186,9.335346939920441e-09
-0.2475546597878039,0.1618641779390971,-1.5293974425950418,0.12616594606152476
-0.009632228067386119,0.04691919059522784,-0.20529399474265045,0.8373424356429744
-0.04680933818002947,0.047024847993179436,-0.9954171077133258,0.3195334414664517
-0.056827963277618264,0.12068413395178733,-0.4708818087083488,0.63772513937705
-0.11493023496024374,0.1101145003251737,-1.043733882648052,0.29660852901828116
-0.160781003977512,0.07773109628661307,-2.0684257865690476,0.03860000248693196
-0.2510179974500767,0.07265726867156674,-3.454822924665052,0.000550654347940327
0.5342247913388177,0.12222961170118682,4.370665863234764,1.2386822096921435e-05
0.2881548633293778,0.12080597950880798,2.385269872410317,0.017066596391244637
-1.2570526783728915,0.14330699647650558,-8.771746734493725,0.0
-1.3391797321739907,0.18974715762732708,-7.057706417949126,1.6926460233435137e-12
3.410321959120001,0.659985092891846,5.167271194228112,2.3753648203950206e-07
1.7771976979249313,0.3773601727592311,4.709552905199789,2.482607689424654e-06
