Value,Rob. Std err,Rob. t-test,Rob. p-value
0.7703547785625338,0.03337072497231656,23.084748059911764,0.0
3.034986862995758,1.4473593551267667,2.096913148932484,0.03600126433651618
-0.6667104462481088,1.4248793212732813,-0.46790660534839684,0.6398513796541918
0.11962607859747855,0.06510419560130223,1.8374557506257823,0.06614264308013063
0.3108839646961787,0.06511081361573434,4.7746902155289925,1.7998409385100445e-06
0.05799234244866308,0.06887870719177203,0.8419487649093189,0.39981663267384615
-0.16323645001429063,0.08556094240957118,-1.9078383829960055,0.05641210814912512
-0.00884296761838332,0.06474545980198738,-0.13658050534242838,0.891362386563257
0.23534816668984945,0.08502659217214863,2.7679360148099676,0.005641252991260393
-0.10131360458912136,0.08424851995952064,-1.2025564916487563,0.22914799286892462
-0.005515620353473161,0.09409043231884032,-0.05862041673676882,0.9532544484412468
-0.23357295344277637,0.12217063107301028,-1.9118584506876375,0.05589435221444661
-0.1324025764798982,0.1168716537013409,-1.1328887055730872,0.25726099359661947
0.6340347040400521,0.32232247275115256,1.9670819059816391,0.04917376889182701
-0.29785857199550553,0.26348125144773576,-1.130473498053006,0.258276759457321
-0.05352530721652982,0.041613287315541626,-1.2862552004282375,0.19835401187796142
-0.07575491168038365,0.049363408731827894,-1.534636963422248,0.12487302779951692
-0.1616195258413215,0.10797687249803746,-1.4967976206595448,0.13444592560366853
-0.20661163818295372,0.13303322128968956,-1.5530830282839034,0.12040330014664002
-0.1627153700884013,0.10864105026359658,-1.4977337727645657,0.134202433532985
-0.2612226514911011,0.1178379379436147,-2.216795847328012,0.026637045424322103
0.4680042884645188,0.24548064137009112,1.9064814473860974,0.056587770481646205
0.3725421519058388,0.23401027263501045,1.5919905896050073,0.11138681901118153
-1.1277218797071593,0.5942594834309635,-1.8976926934278693,0.05773657563611545
-1.5809364706940165,0.5523935016615836,-2.8619751426086757,0.004210099247812682
5.361247527496609,1.1257559961859798,4.7623530726554595,1.9134851012569953e-06
2.3449960816062663,1.2440411868725345,1.8849826728819843,0.05943217719505567
