mode_ind,y2017,av_car,av_par_act,av_kid_act,log_inc_k,veh_per_driver,non_work_dad,non_work_mom,age,female,has_lil_sib,has_big_sib,log_distance,log_density
1,1,1,1,1,2.995732273553991,1,0,0,10,0,0,0,-0.49265831981054176,8.85366542803745
2,1,1,1,1,3.4011973816621555,1,0,0,7,0,1,0,-0.5727010274840783,3.912023005428146
3,1,1,1,1,5.639634988165727,1,0,0,11,1,1,0,-0.7852624694677509,8.006367567650246
1,1,1,1,1,5.639634988165727,2,0,0,13,0,1,0,-0.8651224452997557,8.85366542803745
3,1,1,1,1,4.471638793363569,1,0,1,14,1,0,0,-1.9805015938249322,8.85366542803745
1,1,1,1,1,1.6094379124341003,1,0,0,12,0,1,0,-0.01816397062767118,8.85366542803745
3,1,1,1,1,4.135166556742356,1,0,0,9,0,1,0,-1.0700248318161971,8.85366542803745
3,1,1,1,1,4.135166556742356,1,0,0,11,1,0,0,-0.5656338602609858,7.313220387090301
1,1,1,1,1,2.5257286443082556,1,0,1,11,1,0,0,-0.29169009384931976,8.85366542803745
1,1,1,1,1,4.135166556742356,1,0,1,8,1,0,0,-1.3862943611198906,8.85366542803745
3,1,1,1,1,5.639634988165727,2,0,0,9,0,1,0,-1.258781040820931,8.85366542803745
1,1,1,1,1,3.4011973816621555,1,0,0,8,0,0,1,-1.2801341652915,8.85366542803745
1,1,1,1,1,1.6094379124341003,1,0,0,8,0,0,0,-0.3188288014486177,9.740968623038354
1,1,1,1,1,5.639634988165727,1,0,1,7,0,0,0,-0.353821874956326,7.313220387090301
3,1,1,1,1,4.135166556742356,1,0,0,11,1,0,0,-0.5175146119167874,8.006367567650246
1,1,1,1,1,4.722953221644475,1,0,1,7,1,1,0,-0.6143360001356555,8.006367567650246
2,1,1,1,1,4.135166556742356,1,0,0,10,1,1,0,-0.052346480372209236,8.85366542803745
1,1,1,1,1,4.923623917106626,1,0,0,7,1,0,0,-0.9493305859523552,8.85366542803745
3,1,1,1,1,3.4011973816621555,1,0,0,13,0,0,0,-0.36528331847533263,9.740968623038354
1,1,1,1,1,3.4011973816621555,1,0,0,9,1,0,0,-0.0010005003335835344,8.006367567650246
3,1,1,1,1,1.6094379124341003,0,0,0,13,1,0,0,-0.7962879394794586,8.85366542803745
1,1,1,1,1,3.7495040759303713,1,0,0,8,1,0,0,-0.32158362412746233,8.006367567650246
3,1,1,1,1,4.471638793363569,1,0,0,9,1,0,0,-0.6014799920341214,8.85366542803745
1,1,1,1,1,2.995732273553991,1,0,1,10,0,1,0,-1.0642108619507773,8.85366542803745
1,1,1,1,1,4.135166556742356,1,0,0,11,0,0,0,-0.579818495252942,8.006367567650246
3,1,1,1,1,4.135166556742356,1.5,0,0,10,1,0,0,-1.1270117631898076,9.740968623038354
2,1,1,1,1,1.6094379124341003,0,0,1,10,1,0,0,-2.9374633654300153,8.85366542803745
3,1,1,1,1,1.6094379124341003,0,0,1,14,1,0,0,-0.5481814103097596,9.740968623038354
1,1,1,1,1,3.4011973816621555,1,0,0,9,0,1,0,-0.16841865162496325,5.703782474656201
1,1,1,1,1,2.5257286443082556,0.5,0,1,9,1,0,0,-0.8746690571833357,8.006367567650246
2,1,1,1,1,4.471638793363569,0,0,0,8,0,0,0,-1.6450650900772514,10.308952660644293
1,1,1,1,1,4.135166556742356,1,0,0,11,1,0,0,-0.48288625507674926,8.85366542803745
3,1,1,1,1,1.6094379124341003,0,0,0,14,0,0,0,-0.9314043696842031,8.85366542803745
3,1,1,1,1,1.6094379124341003,1,0,0,13,0,0,0,-0.40646560844174784,8.85366542803745
3,1,1,1,1,4.722953221644475,1,0,0,10,0,1,0,-1.030019497202498,5.703782474656201
2,1,1,1,1,1.6094379124341003,1,0,1,11,0,0,0,-0.8393296907380268,9.740968623038354
1,1,1,1,1,1.6094379124341003,1,0,0,14,0,0,0,-0.26006690541880756,5.703782474656201
3,1,1,1,1,3.7495040759303713,1,0,0,11,0,1,0,-0.4200712604975265,8.85366542803745
1,1,1,1,1,3.7495040759303713,1,0,0,11,0,1,0,-1.1056369036050742,8.006367567650246
1,1,1,1,1,3.7495040759303713,1,0,0,8,1,1,0,-0.3841929728326246,8.006367567650246
1,1,1,1,1,3.4011973816621555,1,0,0,12,1,0,0,-0.6694306539426292,8.85366542803745
3,1,1,1,1,2.995732273553991,0,0,1,10,1,1,0,-0.4992264879226388,9.740968623038354
1,1,1,1,1,2.995732273553991,2,0,1,10,0,0,0,-0.46840490788203853,8.006367567650246
1,1,1,1,1,5.1647859739235145,1,0,0,8,0,0,0,-0.5310283310835102,8.006367567650246
3,1,1,1,1,2.5257286443082556,0,0,1,11,0,0,0,-3.170085660698769,6.620073206530356
1,1,1,1,1,5.1647859739235145,1,0,0,9,1,0,0,-0.33128570993391293,8.85366542803745
1,1,1,1,1,4.471638793363569,1,0,0,8,1,0,0,-0.8675005677047231,8.006367567650246
3,1,1,1,1,2.995732273553991,1,0,0,14,1,1,0,-0.25231492861448956,7.313220387090301
3,1,1,1,1,5.1647859739235145,0,0,1,13,0,1,0,-1.0023934309275668,10.308952660644293
3,1,1,1,1,3.7495040759303713,1,0,0,11,1,0,0,-0.37106368139083207,5.703782474656201
1,1,1,1,1,3.7495040759303713,2,0,0,14,1,1,0,-0.8370175509796473,6.620073206530356
3,1,1,1,1,3.7495040759303713,1,0,0,12,1,0,0,-0.048140375327934984,8.006367567650246
1,1,1,1,1,3.7495040759303713,1,0,1,11,1,1,0,-1.171182981502945,7.313220387090301
1,1,1,1,1,3.4011973816621555,4,0,0,10,1,1,0,-0.7528971849657193,8.85366542803745
1,1,1,1,1,2.995732273553991,1,0,0,13,0,1,0,-0.5780343734594406,10.308952660644293
1,1,1,1,1,4.471638793363569,1,0,0,12,1,0,0,-0.8675005677047231,9.740968623038354
2,1,1,1,1,3.4011973816621555,1,0,1,8,0,0,0,-1.7719568419318752,9.740968623038354
1,1,1,1,1,4.722953221644475,1,0,0,9,0,0,0,-0.03666398437159147,8.85366542803745
1,1,1,1,1,3.7495040759303713,1,0,0,9,1,1,0,-0.3051673867928005,7.313220387090301
1,1,1,1,1,4.471638793363569,3,0,0,8,0,1,0,-0.09651090038084373,9.740968623038354
1,1,1,1,1,4.471638793363569,2,0,1,9,1,1,0,-0.3024573580339353,5.703782474656201
1,1,1,1,1,4.923623917106626,3,0,0,13,1,0,0,-0.23572233352106983,7.313220387090301
3,1,1,1,1,3.7495040759303713,1,0,0,13,0,0,0,-1.1425641761972924,10.308952660644293
3,1,1,1,1,3.7495040759303713,1,0,0,11,1,0,0,-1.6144504542576446,8.006367567650246
3,1,1,1,1,3.7495040759303713,1,0,0,12,0,0,0,-0.941608539858445,9.740968623038354
3,1,1,1,1,4.722953221644475,2,0,0,10,0,1,0,-0.6143360001356555,8.85366542803745
1,1,1,1,1,4.135166556742356,1,0,0,10,1,0,0,-0.10981486600720657,8.85366542803745
3,1,1,1,1,3.4011973816621555,1,0,0,7,1,0,1,-1.0642108619507773,9.740968623038354
1,1,1,1,1,3.7495040759303713,1,0,0,9,0,0,0,-0.3989861420104552,8.006367567650246
1,1,1,1,1,4.471638793363569,1,0,0,11,0,1,0,-0.0030045090202987243,8.85366542803745
3,1,1,1,1,1.6094379124341003,0,1,1,11,0,0,0,-0.2903523010076598,8.85366542803745
3,1,1,1,1,4.135166556742356,1,0,0,12,0,0,0,-1.443923473956527,8.85366542803745
1,1,1,1,1,3.4011973816621555,1,0,0,12,0,0,0,-0.9213032736976993,8.006367567650246
1,1,1,1,1,4.471638793363569,1,0,0,10,0,1,0,-0.7256703722655053,8.85366542803745
1,1,1,1,1,3.4011973816621555,1,1,0,14,0,1,0,-0.355247391947547,7.313220387090301
1,1,1,1,1,4.722953221644475,1,0,0,9,0,0,0,-0.7962879394794586,8.006367567650246
1,1,1,1,1,2.995732273553991,1,0,0,13,0,0,0,-0.23445731121448313,8.85366542803745
1,1,1,1,1,4.135166556742356,1,0,0,10,0,0,0,-1.1086626245216111,8.85366542803745
1,1,1,1,1,1.6094379124341003,1,0,1,8,0,1,0,-0.515838165589535,6.620073206530356
1,1,1,1,1,4.923623917106626,1,0,1,7,1,1,0,-0.22815609313775398,8.006367567650246
2,1,1,1,1,4.135166556742356,1,0,1,9,1,0,0,-0.8324092478934529,8.006367567650246
1,1,1,1,1,3.7495040759303713,1,0,0,9,0,0,0,-0.3011050927839216,8.006367567650246
1,1,1,1,1,4.135166556742356,1,0,0,10,1,0,0,-0.5744756508424468,9.740968623038354
1,1,1,1,1,3.7495040759303713,2,0,0,13,0,0,0,-0.44785082460460224,7.313220387090301
1,1,1,1,1,4.722953221644475,1,0,0,7,0,0,0,-0.6733445532637656,8.85366542803745
1,1,1,1,1,4.471638793363569,1,0,0,8,1,1,0,-0.015113637810048184,8.85366542803745
3,1,1,1,1,4.471638793363569,2,0,0,12,0,1,0,-0.7830718880879323,9.740968623038354
3,1,1,1,1,2.995732273553991,1,0,0,8,0,0,0,-1.6144504542576446,8.006367567650246
1,1,1,1,1,3.7495040759303713,2,0,0,12,1,1,0,-0.13353139262452263,8.85366542803745
1,1,1,1,1,2.995732273553991,1,0,1,11,1,0,0,-0.46840490788203853,7.313220387090301
1,1,1,1,1,4.471638793363569,1,0,0,9,0,1,0,-0.8989420935395421,5.703782474656201
3,1,1,1,1,1.6094379124341003,0,0,0,13,0,1,0,-0.14966077455440627,8.85366542803745
3,1,1,1,1,3.7495040759303713,2,0,0,10,0,0,0,-0.9493305859523552,3.912023005428146
2,1,1,1,1,1.6094379124341003,0,0,1,9,1,0,0,-1.0244328904938582,9.740968623038354
1,1,1,1,1,1.6094379124341003,1,0,0,10,0,0,0,-0.3011050927839216,8.85366542803745
1,1,1,1,1,3.4011973816621555,2,0,0,14,0,0,0,-1.018877320649256,8.85366542803745
2,1,1,1,1,4.135166556742356,1,0,0,12,1,0,0,-0.1438703704197019,8.85366542803745
1,1,1,1,1,4.135166556742356,2,0,0,11,0,1,0,-0.2970592342643779,8.006367567650246
1,1,1,1,1,3.4011973816621555,1,0,0,7,0,1,0,-0.11991029667255755,8.85366542803745
1,1,1,1,1,3.4011973816621555,1,0,0,13,1,0,1,-0.7830718880879323,8.006367567650246
1,1,1,1,1,4.135166556742356,1,0,0,8,0,0,0,-0.31608154697347896,6.620073206530356
1,1,1,1,1,3.7495040759303713,2,0,0,8,1,1,0,-0.027371196796132015,8.006367567650246
3,1,1,1,1,3.7495040759303713,1,0,0,12,1,0,0,-0.22564668153232822,8.85366542803745
1,1,1,1,1,5.1647859739235145,1,0,0,9,0,1,0,-0.21072103131565253,8.85366542803745
1,1,1,1,1,1.6094379124341003,1,0,0,12,1,1,0,-0.4462871026284195,8.006367567650246
1,1,1,1,1,4.135166556742356,1,0,0,8,0,0,0,-0.8255363686056909,8.85366542803745
1,1,1,1,1,2.995732273553991,1,0,0,14,1,0,0,-0.04290750101127655,8.85366542803745
1,1,1,1,1,3.4011973816621555,2,0,0,9,1,1,0,-0.36816932336446756,8.85366542803745
